id,zotero_link,year,title
2707,VTW6PGD9,1997,Excavations at Kazakl'I-Yatkan in the Tash-ki'rman oasis of ancient Chorasmia: a preliminary report
2708,8EKBIGDW,2013,Civil-Military Cooperation: When The Military Drops Rifles and Picks Up Wrenches
2709,XVIHW3UU,1993,The Medieval Spains
2710,K2ZDVY5L,2006,Was there a Co-regency in the 25th Dynasty
2711,L4ASXNAM,1995,From sharing to hoarding: the Neolithic foundations of Aegean Bronze Age society
2712,PHHVY83U,2009,"Constructing Nation and History: Hindu Mahasabha in Colonial North India, 1915-1930"
2713,7LL4IDSV,2018,Sufi in war: Persian influence on African weaponry in 19th century Mahdist Sudan
2714,N6QUBIJK,1981,Slavery in Bambara society: Segou 1112–1861
2715,G93BKTSY,2005,Metals according to documents from Kültepe-Kanish dating to the Old Assyrian Colony Period
2716,W5SKNNNP,2010,The Cambridge history of Chinese literature
2717,7F6EMP4W,2012,The history
2718,YMCSH23J,1983,"Tapan Raychaudhuri and Irfan Habib (ed.): The Cambridge economic history of India. Vol. I: c. 1200c. 1750. xvi, 543 pp. Cambridge: Cambridge University Press, 1982.£ 42.50."
2719,PXP99NNH,2014,The Daily Life of Slaves and the Global Reach of Slavery
2720,5JQTRMSL,2021,Rise of the war machines: Charting the evolution of military technologies from the Neolithic to the Industrial Revolution
2721,8QU5AFNS,2007,Work and compensation in ancient Egypt
2722,D56RWSW5,2017,Routledge handbook of premodern Japanese history
2723,RD2NCACV,2015,Great Walls & Linear Barriers
2724,NLZTHDBX,2016,9 Champions of the Persian Language: The Mongols or the Turks?
2725,YPCTAHGG,2014,Army and society in Ptolemaic Egypt
2726,EBU76WJT,2015,"Military Transition in Early Modern Asia, 1400-1750: Cavalry, Guns, Government and Ships"
2727,NFTN8FU3,1978,Atlas of world population history.
2728,CF6C8X63,1984,History and Culture of Karnataka: Early Times to Unification
2729,QQ2ER8VE,1958,The Golden Trade of the Moors
2730,XEUBMF2Y,1998,Eschatology i. In Zoroastrianism and Zoroastrian Influence
2731,838RQG4W,2004,Primary state formation in Mesoamerica
2732,CWQU9EL8,2007,Earliest cylinder-seal glyptic in Egypt: From Greater Mesopotamia to Naqada
2733,V8WTN87I,2006,Brahmanical reactions to foreign influences and to social and religious change
2734,JKIAQS7W,1984,Effects of contact on revenge hostilities among the Achuara Jivaro
2735,88AZN82A,2005,1 This chapter owes much to the scholarship and sane judgement contained in LSAG2 50–63
2736,BILCH2TL,1996,Zapotec civilization: How urban society evolved in Mexico's Oaxaca Valley
2737,7MWJQ7BX,2012,The Great Wall of China 221 BC–AD 1644
2738,4DZ4JDGT,2016,The History and Chronology of Gunpowder and Gunpowder Weapons (c. 1000 to 1850)
2739,YB8JYYEZ,2015,African civilizations: An archaeological perspective
2740,9AI8QN6C,2012,Women II: In the Avesta
2741,XWMQSA74,1988,The predynastic of Egypt
2742,687RTI9I,1977,"Yaśovarman of Kanauj: A Study of Political History, Social, and Cultural Life of Northern India During the Reign of Yaśovarman"
2743,NUG3GGKU,2012,Behind the horizon. Reassessing the genesis and function of the ‘First Palace’at Knossos (FN IV-MM IB)
2744,TT364T5G,2011,"The Oxford Handbook of Ancient Anatolia:(10,000-323 BCE)"
2745,QJHZB6PV,2007,The Babylonian World
2746,MK9DM9RT,2002,Daily life in the age of Charlemagne
2747,H3G62FPI,2008,"El asentamiento del periodo Formativo en la cuenca central de Puebla-Tlaxcala, México"
2748,QPVQTEGE,2009,"The Papacy and Crusading in Europe, 1198-1245"
2749,5TMXZ6RL,2017,A Traveller in Thirteenth-Century Arabia/Ibn al-Mujawir's Tarikh al-Mustabsir
2750,4QP2ER4F,2011,Before the Normans: Southern Italy in the ninth and tenth centuries
2751,W9CSNG5R,2002,South Indian Chalcolithic
2752,V4JFRWEM,1999,Atlas of the Year 1000
2753,LDK8V9CM,2007,The Mughal world: Life in India's last golden age
2754,SYUT8KXM,2001,"Hawaiki, ancestral Polynesia: an essay in historical anthropology"
2755,BX2EWJ3Q,1979,South Asian Archaeology 1975: Papers from the Third International Conference of the Association of South Asian Archaeologists in Western Europe Held in Paris
2756,B4JK39CH,1947,The cowrie shell Miao of Kweichow
2757,ZYCK72UZ,2003,A processual study of Inka state formation
2758,HGKYFH4J,2008,The geography of trade. Assyrian colonies in Anatolia c. 1975-1725 BC and the study of early interregional networks of exchange
2759,LC87BRW6,2003,"The Buwayhid Dynasty in Iraq 334h., 945 to 403h., 1012: Shaping Institutions for the Future"
2760,ULLVI5VU,2007,Family life in the Middle Ages
2761,IJNNUGYG,2002,"Bamana identity, state formation, and the sources of Bamana art"
2762,2SPGQ7I8,2013,"Settlement patterns of the Ejutla Valley, Oaxaca, Mexico: A diachronic macroscale perspective"
2763,IRNJWM7K,2011,Seleucid Administration–Effectiveness and dysfunction among officials
2764,E6LX6JQ9,1993,Biological affinities of late Pleistocene through modern African aboriginal populations: the dental evidence
2765,UC9YRF9C,2009,Letters from the Hittite kingdom
2766,I5I5RBWF,1973,The world of the Huns: studies in their history and culture
2767,SMU78CGG,1999,Ludy i języki starożytnej Anatolii
2768,555RQFFL,2007,Epigraphic South Arabian morphology
2769,NQQH5G74,1998,Phrygian rock-cut cult façades: a study of the function of the so-called shaft monuments
2770,NZ9KUFPD,2012,Back to the beginning for the Early and Middle Bronze Age on Crete
2771,WHN2JMAP,1981,The inland Niger delta before the empire of Mali: evidence from Jenné-Jeno
2772,NSRZ2EXW,1990,"The Function of the Minoan Palaces: Proceedings of the Fourth International Symposium at the Swedish Institute in Athens, 10-16 June, 1984"
2773,ASX3NJ34,1986,Indigenous states of southeast Asia
2774,HSYYL9TV,2005,The Indian Ocean in Eurasian and African world-systems before the sixteenth century
2775,6M9C5YZG,0,"‘A real contribution in times of rapid social change, this book sheds new light on the complex relationships between Islam, understood as a religion and host culture, and psychoanalysis. Destined to be controversial and enlightening, this remarkable collection of essays exposes open and subtle forms of mutual engage-ment, appropriation and transformation behind this encounter. A much-needed"
2776,RE3DEDZZ,2008,"A port in Arabia between Rome and the Indian Ocean, 3rd C. BC-5th C. AD: Khor Rori report 2"
2777,MDHKSE28,2012,A peaceful realm? Trauma and social differentiation at Harappa
2778,B8ADDRYA,2013,Liturgies of Violence: Social Control and Power Relationships in the Republic of Venice between the 16th and 18th Centuries
2779,WDA6F46A,1967,New Light on Minoan bureaucracy. A re-examination of some Cretan sealings
2780,L8LUB4IJ,2010,Detecting marketplace exchange in archaeology: a methodological review
2781,7CZ5T4EE,1987,Chinese historical demography AD 2-1982
2782,HRYYRJNX,2008,The Cambridge History of Egypt
2783,IGMMUB4N,1913,Ravenna: a study
2784,UMZD5UVS,2001,The Oxford companion to military history
2785,MXDAB2WL,0,"Newman, Andrew J., Safavid Iran: rebirth of a Persian empire: London ua, 2006"
2786,KEELALPV,2010,China's last empire: the great Qing
2787,GIMUJVK4,1986,Saladin and the Saracens
2788,ACME4RMT,2000,The 18th Dynasty before the Amarna Period (c. 155o-I352 BC)
2789,F97WR7LV,1991,Aksum: an African civilisation of late antiquity
2790,HVM4EBQ2,1987,The Wild Country east of Dikte: the problem of East Crete in the LM III period
2791,J6UEFGGE,2015,"World clothing and fashion: An encyclopedia of history, culture, and social influence"
2792,JP8XSXDF,2013,Ancient literary sources on Sardis
2793,5L735DHJ,1964,"Can Hasan, Karaman 1962"
2794,GM2CNW2S,2002,A history of Islamic societies
2795,8WP99ERK,2005,The Oxford encyclopedia of ancient Egypt
2796,L2B5QR8S,2008,The problem of the origin of the Hittite cuneiform
2797,4GKJDY27,1992,Systems of exchange and organization
2798,C5ZHJH7K,2004,"Founding a new"" Mamlaka"": some remarks concerning Safed and the organization of the region in the Mamluk period"
2799,R9TDICN4,2004,"Prices and wages in India (1200–1800): Source material, histo riography and new directions"
2800,KWAJ2B37,2011,The Progression of Arms and Armor from Ancient Greece to the European Renaissance across Eurasia and Africa
2801,5RSKC9Y2,2017,Bibliografia miasta Torunia za rok 2016 wraz z uzupełnieniami
2802,BTP3R993,2003,Women in Iran from the Rise of Islam to 1800
2803,S5ESJIDD,1982,The cuicatlán cañada and Monte Albána study of primary state formation
2804,NAVABH49,2012,Ancient Egypt Before Writing: From Markings to Hieroglyphs
2805,KYG82RRW,2001,SOCIAL MEMORY AND THE STUDY OF EMPIRES
2806,7ZEQSV3P,1991,Architecture and spatial organization at Huari
2807,YZPQC7NT,2006,The Samma Kingdom of Sindh
2808,MMISNQAG,2015,Java essay: the history and culture of a southern country
2809,FGMMQSHW,2006,Between the empires: society in India 300 BCE to 400 CE
2810,9KKTEPH5,2005,Excavations at San José Mogote 1: the household archaeology
2811,BJR63ITK,1998,Handbook to life in ancient Greece
2812,98TWFL2F,1992,"Glimpses of Mughal Society and Culture: A Study Based on Urdu Literature, in the 2nd Half of the 18th Century"
2813,9IB9AZ8M,2006,Intermediate elites in pre-Columbian states and empires
2814,XXX6FXCU,2020,Bibliography Current World Literature Vol 17 No 2 March 2005
2815,PUWFRWGC,2004,"Power and process under the Republican ‘Constitution,’"
2816,CSZFAAQJ,2003,The origin of war: New 14C dates from ancient Mexico
2817,Y28VW65N,2006,"Text, artifact, and image: revealing ancient Israelite religion"
2818,JLV6IW7T,2007,Debating Jomon social complexity
2819,K344KBDX,2007,Historia Mezopotamii w 1. tysiącleciu przed Chrystusem
2820,ZGXJSR8G,2011,"Anglo-Zulu War, 1879: a selected bibliography"
2821,INAYT2T7,2012,"African political thought refers to the original ideas, values, and blueprints for a better Africa that inform African political systems and institutions from the ancient period to the present. African political thought also refers to political theories and ideologies developed by various African scholars and statesmen, as enunciated in their speeches, autobiographies, writings, and"
2822,ZFMNY8YR,1986,Water works and irrigation system in India during pre-Mughal times
2823,NZ9QJUFQ,2012,"Imperialismo en el Horizonte Medio: Una reevaluacion del paradigma clasico, Cuzco, Peru"
2824,RRLLXEVB,2010,The age of the Parthians
2825,GDK5MFLC,2016,Crusading and Warfare in the Middle Ages: Realities and Representations. Essays in Honour of John France
2826,E2YLTJMP,2013,Sung government and politics
2827,MRPWLT9Y,2016,"Ostrogothic Provinces: Administration and Ideology,[in:] A Companion to Ostrogothic Italy, ed"
2828,8SWAGYU5,2016,A Companion to Ostrogothic Italy
2829,ZIHPHUXE,2013,Early Olmec obsidian trade and economic organization at San Lorenzo
2830,I8VW5J8T,2000,The third intermediate period
2831,2WLMXM9C,2000,French Armies of the Hundred Years War
2832,ZQVC7SB7,2012,One community and two tells: the phenomenon of relocating tell settlements at the turn of the 7th and the 6th millennia in Central Anatolia
2833,M48E3RRU,2008,"The ancient languages of Mesopotamia, Egypt and Aksum"
2834,ZTKKIMEM,1987,"Italy in the Age of Reason, 1685-1789, trans"
2835,3AZ7SZJZ,1977,The coins of the Cappadocian kings
2836,ZZGPJLTR,2017,"Settlement Patterns in the Albarradas Area of Highland Oaxaca, Mexico: Frontiers, Boundaries, and Interaction"
2837,TLESDZZ8,2003,"Militarism, resistance, and early state development in Oaxaca, Mexico"
2838,H9MWUZRV,2015,Xinjiang: China's Muslim Borderland
2839,PMH95MIH,2015,The kingdom of Kush: handbook of the Napatan-Meroitic civilization
2840,UGQB2RGD,2011,Consuls and res publica: holding high office in the Roman Republic
2841,34LUAS6K,2010,Administration and law: pharaonic
2842,TZA968PR,1972,The lands of St. Peter: the Papal State in the middle ages and the early renaissance
2843,BLZW6TB6,1997,Edo and Paris: urban life and the state in the early modern era
2844,RASSWTDH,1988,Protohistoric Yamato: archaeology of the first Japanese state
2845,DMCTN38T,2008,The Cambridge Companion to the Aegean Bronze Age
2846,HM84928W,1994,Religions in the Kushan empire
2847,JJP9P7U3,2009,"The practice of politics in Safavid Iran: power, religion and rhetoric"
2848,EPF35UPP,2009,The Greek Grid-Plan at Sirkap (Taxila) and the question of Greek influence in the North West.
2849,KKAP2YUT,2014,Invaders or just herders? Libyans in Egypt in the third and second millennia BCE
2850,4ZNWGTTF,1985,El sitio de Cuanalan en el marco de las comunidades pre-urbanas del Valle de Teotihuacan
2851,5Y96D5TT,1998,"КТО ОНИ, БУЛОЦЗИ (BULUOJI) И ЦЗЕ (JIE)/ЦЗИ (JI) В КИТАЙСКИЕ ДИНАСТИЧЕСКИЕ ИСТОРИИ. ЦЗЕ (JIE) И КИДАРИТЫ. СООБЩАЮТ ЛИ О „БОЛГАРЫ “КИТАЙСКИЕ ИСТОЧНИКИ, И КАКОЕ ЗНАЧЕНИЕ БОЛГАРСКОГО ЭТНОНИМА? автор: Ж. Войников"
2852,WHJWQWNG,2010,Distinctive cultural and geographical legacy of Bahawalpur
2853,LNI3HGQK,1992,Bridging the Hellespont: The Successor Lysimachus-a study in early Hellenistic kingship
2854,2IS3P92K,2004,Warfare in Ancient Greece: Arms and Armour from the Heroes of Homer to Alexander the Great
2855,XWAJBEGY,1977,"Roman involvement in Anatolia, 167–88 BC"
2856,47FKTBXX,2015,Great Seljuk Empire
2857,7JEW2BVW,2004,Italy in the Age of the Renaissance: 1300-1550
2858,A7GJARXQ,1998,Origin and collapse of complex societies in Oaxaca (Mexico): Evaluating the era from 1965 to the present
2859,R9BANIN4,1928,Gold Coast: Akan laws and customs and the Akim Abuakwa constitution
2860,K5CZWV2W,2002,Some Thoughts on Merchants and Trade in the Hittite Kingdom
2861,CU3863BR,2002,The circulation of military technology in the Mongolian empire
2862,D9639IHA,2013,The Making of the Middle Sea: A History of the Mediterranean from the Beginning to the Emergence of the Classical World
2863,4CNLG5PB,2012,Aetius: Attila's nemesis
2864,329PUHQ7,2011,The first spring: The golden age of India
2865,UKTX3CZX,2007,Negotiated Pasts and the Memorialized Present in Ancient India: Chalukyas of Vatapi5
2866,UJPYGW6R,2011,Hittite cities: looking for a concept
2867,7YT9N6RA,2010,""" The Artillery of the Dukes of Burgundy 1363-1477"", Robert Douglas Smith, Kelly Devries, Woodbridge 2005:[recenzja]"
2868,PKMBXH9G,1990,Women as holders of rights in ancient Egypt (during the Late Period)
2869,WKCBQPU3,2017,성혼예식과 풍산제의의 연관성에 대한 재고
2870,PGIJ37YA,1988,"Peoples and Settlement in Anatolia and the Caucasus, 800-1900"
2871,2BRWNGMK,1999,"Social development, management of production, and symbolic representation in Prepalatial Crete"
2872,R9J5B8KV,2015,Dilemmas of Development: Dr. Krisana Kraisintu’s Praxis in Asia and Africa
2873,YQ5MMKEI,1984,Saladin: The politics of the holy war
2874,R9JX2L5V,2014,"Eric Dursteler, ed. A Companion to Venetian History, 1400–1797. Brill’s Companions to European History 4. Leiden: Brill, 2013. xxii+ 970 pp. $329. ISBN: 978-90-04-25251-6."
2875,AFVGTE4Y,1992,The history and monuments of the Tahirid dynasty of the Yemen 858-923/1454-1517.
2876,A23FJGQF,1991,"A History of Italy, 1700-1860: The Social Constraints of Political Change"
2877,8Q9DFXRV,1993,"Minoan religion: ritual, image and symbol"
2878,GFEI86BU,2010,The Fatimid caliphate (358-567/969-1171) and the Ayyubids in Egypt (567-648/1171-1250)
2879,BVP29PYZ,1981,Settlement hierarchies and political complexity in nonmarket societies: the Formative Period of the Valley of Mexico
2880,D2TI9CE6,1987,Four thousand years of urban growth: An historical census
2881,Y8L8K2QE,1948,Elbistan ovasın'daki tetkik gezileri ve Karahöyük kazısı
2882,ESUXKG2K,2003,"Imperial China, 900-1800"
2883,MFBMHBXD,1957,Papal armies in the thirteenth century
2884,672VHIHT,1983,Ancient Egypt: a social history
2885,FSF6N92V,2010,The Oxford Handbook of the Bronze Age Aegean
2886,BMH66HKJ,2012,The Hittites and their world
2887,FEFMDIW2,2010,The second intermediate period and the new kingdom
2888,946T5Y3B,2012,Function and significance of ancient Egyptian royal palaces from the Middle Kingdom to the Saite period: a lexicographical study and its possible connection with the archaeological evidence
2889,EEJGQYZI,2015,De geschiedenis van de Mongolen verbeeld? De Ilkhanieden en het Shahnama
2890,5LJWANFH,2016,A history of India
2891,X6VEPHJW,2009,Money doesn't make the world go round: Angkor's non-monetisation
2892,M4YZZQCB,2018,The British end of the British empire
2893,DDLP4ZTL,2001,Aspects of Minoan urbanism
2894,4YYUE8J2,1980,"The Cambridge History of China: Late Ch'ing, 1800-1911, Part 2"
2895,WDBRVUK7,1898,The juridicial customs of the Yakut
2896,89GSTRGD,2011,The Iron Age in Central Anatolia
2897,4YF5GBBK,2010,"Empires of Medieval West Africa: Ghana, Mali, and Songhay"
2898,CXGBAR9S,2004,Primary emergence of the doctrinal mode of religiosity in prehistoric southwestern Iran
2899,HUF4SVM5,2014,"Gods, Heroes and their story tellers: Intangible cultural heritage of South India"
2900,92EGASZ6,1991,French medieval armies 1000-1300
2901,5PPXJEJJ,2007,Historic cities of the Islamic world
2902,3XS239RU,2011,Shah Abbas: the Ruthless King who became an Iranian Legend
2903,44IDGGP3,2015,A mosaic of adaptation: The archaeological record for Mesoamerica’s archaic period
2904,YFZ5WP8K,1983,Harsha: a political study
2905,FPALATPG,2014,A history of Thailand
2906,9AYUI6CS,1991,"Religion in Ancient Egypt: Gods, Myths, and Personal Practice"
2907,SAMJKQG6,2004,Some elements of Old Anatolian society in Kaniš
2908,7BK67XVC,2010,"Coptic Identity and Ayyubid Politics in Egypt, 1218-1250"
2909,I2JPTB2A,1990,The Mamluks' ascent to power in Egypt
2910,A8YX3MJL,2001,Centre and periphery: some observations on the administration of the kingdom of Knossos
2911,VKJPG49M,0,others. 1978. Atlas of World Population History
2912,U6R46U55,2015,Islamic Arms and Armor in the Metropolitan Museum of Art
2913,XTYCETMV,2015,A Royal Necropolis at South Abydos: New Light on Egypt's Second Intermediate Period
2914,5BPMXSV4,2016,2 The Ostrogothic Kingdom: Ideologies and Transitions
2915,Y4ZSLFSR,2019,"The Ottoman Empire, 1300-1650: the structure of power"
2916,TCVBLNCG,1978,Daily life in the world of Charlemagne
2917,WBA5NAEV,2006,THE RELATIONSHIP BETWEEN CHIEF QÀÎÌ AND CHIEF DÀ'Ì UNDER THE FATIMIDS
2918,QWXLITAY,1976,The early Mesoamerican house
2919,45TQFTCT,2016,"Politische Geschichte (Provinzen und Randvölker: Mesopotamien, Armenien, Iran, Südarabien, Rom und der Ferne Osten [Forts.])"
2920,L4FKJXDU,2016,"Ethnic ambiguity and the African past: Materiality, history, and the shaping of cultural identities"
2921,BY3EKD55,2007,State formation in Japan: Emergence of a 4th-century ruling elite
2922,XJEZ7UFZ,2014,Tissamaharama Pottery sequence and the Early Historic maritime Silk Route across the Indian Ocean
2923,RAEW7UIG,2013,Venice’s maritime empire in the early modern period
2924,GQI7AY3H,2011,Hittite military and warfare
2925,MJ35746R,2011,Iran at war: 1500-1988
2926,NNG3QEKX,2010,A companion to ancient Egypt
2927,7BMQ5PPR,2003,The Oxford history of ancient Egypt
2928,FHDNB2F7,2021,Studies in Indian coins
2929,8U7QLDEZ,1976,Formative Oaxaca and the Zapotec Cosmos: The interactions of ritual and human ecology are traced in this interpretation of a prehistoric settlement in highland Mexico
2930,ZGCBFR3L,2001,From Sites to Communities: Defining the Human
2931,NBN3RME8,2004,The Christianisation of kingship
2932,NIAICTUF,1997,Seleucid and Ptolemaic Reformed Armies 168-145 BC. Vol 1: The Seleucid Army under Antiochus IV Epiphanes. Vol 2: The Ptolemaic Army under Ptolemy VI Philometor. N Sekunda
2933,58XBGLUY,1983,Parthian writings and literature
2934,D74CT4RQ,2006,From Funan to Angkor: Collapse and regeneration in ancient Cambodia
2935,L7C26QE4,2012,Formation of the Indo-European and Uralic (Finno-Ugric) language families in the light of archaeology: Revised and integrated ‘total’correlations
2936,VXLVKN8T,1978,"The Cambridge history of China: Volume 6, Alien regimes and border states, 907-1368"
2937,BGHTSE8K,2004,Il–Khanids:“Dynastic History”
2938,YFMBXNAM,1968,Fanti national constitution
2939,M9DCY8A5,1971,The administration of the Sultanate of Delhi
2940,YWS2J5Y2,2018,5 The Preliminary Gathering and the Painting of the Glorified Christ 311
2941,SYMM3Z7U,1946,A new history of the Indian people/6 The Vākātaka-Gupta age/ed. by Ramesh Chandra Majumdar..
2942,VXI266EK,1989,The Venetian Empire 1200-1670
2943,2JBA6YY6,2012,The Oxford handbook of Iranian history
2944,D5HP7YCJ,2003,"Economic expansion in the Byzantine Empire, 900-1200"
2945,PCDT3PGY,2009,Tepecik-Çiftlik 2010 Yılı Çalışmaları
2946,RCLJCHB4,1981,"Aksum: Political system, economics and culture, first to fourth century"
2947,SY9C23U4,2013,Cusco: Urbanism and archaeology in the Inka world
2948,V5QJUB2U,2013,The Oxford handbook of ancient Iran
2949,86BSWCBZ,2008,Notes on the Yuezhi–Kushan Relationship and Kushan Chronology
2950,WH8SS2XT,1997,The Global Past: Prehistory to 1500
2951,6K45EF9Z,2009,China’s cosmopolitan empire
2952,N33TV528,1965,Ancient Crete: a social history from early times until the Roman occupation
2953,278UMU94,1997,The Oxford encyclopedia of archaeology in the Near East. 3.[Hazo-Meso]
2954,WP9PWTQ7,1974,Tonawanda Seneca ethnic identity: functional and processual analyses.
2955,K3F6FH2H,1989,Warfare & diplomacy in pre-colonial West Africa
2956,IIITN2MN,1982,"Who was who in the Greek World, 776 BC-30 BC"
2957,K5HN2MQL,2013,The Organisation of the Pharaonic Army (Old to New Kingdom)
2958,6J2AW3G9,2012,Precolonial Black Africa
2959,VCGDEAWI,2003,"Venice reconsidered: the history and civilization of an Italian city-state, 1297-1797"
2960,GP9SLCMF,2001,"Haplogroups That Underwent Domestication.” Proceedings of the National Academy of Sciences 109: 1449–54. Agamben, Giorgio. 1998. Homo Sacer: Sovereign Power and “Bare Life.” Trans. Daniel Heller-Roazen. Stanford, Calif.: Stanford University Press."
2961,AV7FGCGM,1988,Problems of Peasant Protest in Early Medieval India
2962,EJ9WSE3H,2013,Transition in Early Tamil Society: A Hypothesis on the Formation of Tamil Region
2963,N6QDRSRQ,2012,"Calendars in Antiquity: Empires, States, and Societies"
2964,GAFWSP6U,2013,The Heterodoxies in Tamil Nadu
2965,S5ZIRUKU,2001,History of the Tamils: From the Earliest Times to 600 A.D.
2966,M4FMXZZW,1998,Africa from the Sixteenth to the Eighteenth century
2967,P5VJ9KME,1986,Introduction to Prakrit
2968,5Z4TFP7P,1989,Geography from Ancient Indian Coins and Seals
2969,H6ZW8JXP,1996,A Handbook of Pali Literature
2970,FG8Q2SFG,1941,The Sangam Age
2971,N3D88RXF,2020,Perspectives in Indian History: From the Origins to AD 1857
2972,UGD5HUFP,2021,Rajaraja Chola: Interplay Between an Imperial Regime and Productive Forces of Society
2973,J4XFI6XS,2011,Religion and Security in South and Central Asia
2974,T7T7DCVM,2016,"The Religious Minorities of Pakistan, Jinnah’s Vision and Islamization"
2975,7W7NWSKE,2003,Persecution of the Ahmadiyya Community in Pakistan: An Analysis under International Law and International Relations Note
2976,HTMVWDJ4,2014,Constitutional Comparison and Analysis of Discrimination against Religious Minorities in Pakistan and India
2977,RH7N9TTZ,1988,Religious minorities in Pakistan today
2978,C5INQA77,2007,Identity Politics and Minorities in Pakistan
2979,R9T27IFE,2020,"Religious Minorities in Pakistan: Identities, Citizenship and Social Belonging"
2980,G6DJGCVA,2014,Minorities and Representation in a Plural Society: The Case of the Christians of Pakistan
2981,XSB9NI8B,2008,"Religion in school, interreligious relations and citizenship: the case of Pakistan"
2982,PTWKXJI8,2012,Level of depression among adolescents of religious minorities and their dominant counterparts in Pakistan
2983,6NKZHQ4B,2016,The Experience of Minorities Under Pakistan's Blasphemy Laws
2984,DHW6V7PP,2012,Pakistan's policies and practices towards the religious minorities
2985,3F2QD356,2019,Religious Minorities of Pakistan: Report of a Parliamentary Visit 27 (September 2018 – 3 October 2018)
2986,FR3J8HZ4,2021,Religious Freedom in Pakistan: A Case Study of Religious Minorities
2987,9MQ3UP5P,2021,"Religious Minorities as Victims of Poverty: Exploring the Socio-Economic Impediments behind Their Poor Economic Status in Kohat, Khyber Pakhtunkhwa-Pakistan"
2988,QFCGUSM8,2000,"Accommodating Religious Identities in an Islamic State: International Law, Freedom of Religion and the Rights of Religious Minorities"
2989,K6DXRC3F,2012,"Is Defamation of Religions Passe - The United Nations, Organisation of Islamic Cooperation, and Islamic State Practices: Lessons from Pakistan"
2990,4DIRR6ZI,2016,"A  Survey  of  Social  Exclusion,  Media  Portrayal,  and  Services  for Christians  Minorities  in  Pakistan"
2991,TXZJZEE6,1995,Freedom of Religion &(and) Religious Minorities in Pakistan: A Study of Judicial Practice
2992,HNW25XXT,2009,The place of African traditional religion in interreligious encounters in Sierra Leone since the advent of Islam and Christianity
2993,JG2JHAMF,2015,Day of Tolerance: ‘Neighbourliness’ a strength of Ghana’s diverse society
2994,2X934GV7,2010,RELIGIOUS EDUCATION IN A DEMOCRATIC STATE: THE CASE OF GHANA
3143,XDPWUN9G,2008,"Negotiating Hinduism in East Africa, 1860-1960"
2995,3I7FMCB4,2017,Adding and Dividing by Religion: The Not-So-Hidden Curriculum of Mission-Public Schools in Ghana
2996,DXWRVV8J,2020,The Trokosi Tradition In Ghana: The Silencing of a Religion
2997,RPTZSUQV,2015,Religion and the Secular State in Ghana
2998,NCNGWXA8,1999,Legislating Religious Liberty: The Ghanaian Experience
2999,RC2AATZM,1998,The study of religion in Malawi: A select critical bibliography
3000,8SEUCRA6,2020,In search of identity: Being a Rastafarian in Democratic Malawi
3001,HBD3AXCE,2020,Treated as &#39;niggers&#39; in our own country: lived experiences of Rastafarians in the Democratic Malawi
3002,KS3G2IVI,2008,The Constitutional Protection of Minority Religious Rights in Malawi: The Case of Rastafari Students
3003,PQQJ48DP,2019,‘These religions are no good – they’re nothing but idol worship’: mis/representation of religion in Religious Education at school in Malawi and Ghana
3004,CWW89PSV,2019,‘These religions are no good – they’re nothing but idol worship’: mis/representation of religion in Religious Education at school in Malawi and Ghana
3005,QV9H6F2S,2011,Religion and politics in Malawi
3006,FP75U6ZI,1997,Religion and the State in Tanzania and Malawi
3007,W3H9G2NA,2011,Comment The Right to Freedom to Practice One’s Religion in the Constitution of Uganda
3008,Q2JRAH2I,2003,Religious pluralism and conflict as issues in religious education in Uganda
3009,BZDJXM4D,2019,"Educational Marginalization of Muslims In Uganda: Historical Perspective, Legal Implications & Challenges"
3010,39P778QT,2016,"Political Tolerance in the Global South: Images of India, Pakistan and Uganda."
3011,N5T64WIX,2016,"Political Tolerance in the Global South: Images of India, Pakistan and Uganda."
3012,UI7C3JK5,1980,Religion in Uganda under Amin
3013,ERZKPETN,1984,Africa from the Twelfth to the Sixteenth Century
3014,X43I622E,2001,What Drives Societal Collapse?
3015,JS33ZISN,1995,The Rise of the Indo-Afghan Empire: C. 1710-1780
3016,LAPAZ95S,0,Investigation of Spurious Velocity Overshoot Using Monte Carlo Data
3017,3Z9SZ9EL,2016,Pipelined Iterative Solvers with Kernel Fusion for Graphics Processing Units
3018,SGUT3BWD,1995,The Rise of the Indo-Afghan Empire: C. 1710-1780
3019,KDATTXVZ,1995,The Rise of the Indo-Afghan Empire: C. 1710-1780
3020,XI9TIKUN,1995,The Rise of the Indo-Afghan Empire: C. 1710-1780
3021,882F9BIM,2010,Cahokia Mounds: America's First City
3022,BDTLCJ6B,2001,TCAD Analysis of Gain Cell Retention Time for SRAM Applications
3023,KHUDA988,2016,Pipelined Iterative Solvers with Kernel Fusion for Graphics Processing Units
3024,BNNSI72Z,2014,Warfare in Northern Europe Before the Romans: Evidence from Archaeology
3025,UP9SMB4T,2010,The First Intermediate Period and the Middle Kingdom
3026,KUPJA2X4,1930,Orokaiva Society
3027,XQDZ6PWT,2003,Climate and the Collapse of Maya Civilization
3028,VEWIIHGS,2016,Twenty-first century approaches to ancient problems: Climate and society
3029,2SS9GBQC,2016,Multi-proxy evidence of Holocene climate variability in Volhynia Upland (SE Poland) recorded in spring-fed fen deposits from the Komarów site
3030,KSB74TXP,2017,How to Make a Polity (in the Central Mesa Verde Region)
3031,8L76XXVJ,2015,"The climate variability in northern Levant over the past 20,000 years"
